CD_STATION;NUM_COM;NOM_COM;NUM_DEP;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;Unité_coord_fictifs;X_FICT_L93;Y_FICT_L93;CD_ME_v2;CD_ME_niv1_surf;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014;
05811X0100/P;39574;VILLEVIEUX;39;AERM&C;202,5;8;39574_FRDG505_FRDG346;888577,0849;6630055,743;DG346;DG346;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;;oui;oui;oui;oui;oui;oui;oui;
05811X0194/SPOMP;39574;VILLEVIEUX;39;AERM&C;198;;39574_FRDG505_FRDG346;887269,7785;6628965,17;DG346;DG346;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;oui;oui;oui;oui;oui;oui;oui;oui;
05812X0261/F;39577;VINCENT;39;AERM&C;209;15;39577_FRDG505_FRDG346;890016,4504;6632989,781;DG346;DG346;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;;oui;oui;oui;oui;oui;oui;oui;
06285X0061/S;39585;VULVOZ;39;AERM&C;665;;39585_ _FRDG149;913624,8628;6584438,346;;DG149;Hors RCS et RCO;;;;;;oui;;;;;;;;
09792X0207/F2;40001;AIRE-SUR-L'ADOUR;40;AEAG;78,1;9;40001_FRFG083_FRFG028;438633,4545;6296245,712;FG028;FG028;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;oui;oui;oui;;
09761X0052/F;40004;ANGRESSE;40;AEAG;10;52;40004_FRFG083_FRFG045;347178,4612;6294616,079;;FG045;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;;
09761X0042/F3;40004;ANGRESSE;40;AEAG;10;50.2;40004_FRFG083_FRFG045;350449,8121;6293606,837;;FG045;Hors RCS et RCO;;;;;;oui;;oui;;;;;;
09761X0034/F2;40004;ANGRESSE;40;AEAG;4;50;40004_FRFG083_FRFG045;349443,9636;6293616,378;;FG045;Hors RCS et RCO;;;;;;oui;;oui;;;;;;
09762X0085/F;40004;ANGRESSE;40;AEAG;10;49;40004_FRFG083_FRFG045;347224,7593;6294022,668;;FG045;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;;
09761X0054/F;40004;ANGRESSE;40;AEAG;5;48;40004_FRFG083_FRFG045;345884,9338;6293230,76;;FG045;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;oui;;;;;;
09248X0003/F;40006;ARENGOSSE;40;AEAG;77;250;40006_FRFG084_FRFG046;397445,3911;6328826,684;;FG046;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;;
08756X0032/F1;40008;ARGELOUSE;40;AEAG;67;1646;40008_FRFG105_FRFG045;411978,0075;6369241,572;FG080;FG045;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;;;;;;oui;oui;
09514X0032/F1;40012;ARTASSENX;40;AEAG;123;71;40012_FRFG084_FRFG066;425517,6749;6310552,64;;FG066;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;;
09782X0025/F2;40017;AUDIGNON;40;AEAG;43;35;40017_FRFG080_FRFG091;409698,4769;6299154,704;;FG091;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;;;;;;;
09782X0016/F3;40017;AUDIGNON;40;AEAG;50;114;40017_FRFG080_FRFG091;410125,5489;6297730,921;FG091;FG091;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;oui;oui;oui;oui;oui;oui;oui;
