ANNEE;CD_STATION;NBPREL;MOYPTOT;MAXPTOT;MINMOLRECH;MAXMOLRECH;MINMOLQ;MAQMOLQ
2012;00054X0169/F1;1;0;0;64;64;0;0
2012;00057X0245/F1;1;0;0;64;64;0;0
2012;00057X0248/F4;1;0;0;64;64;0;0
2012;00061X0118/F8;2;0,01;0,02;64;64;0;1
2012;00071X0015/F;1;0;0;42;42;0;0
2012;00075X0158/F15;1;0,01;0,01;42;42;1;1
2012;00085X0063/F2;1;0;0;42;42;0;0
2012;00103X0308/F3;1;0,01;0,01;64;64;1;1
2012;00104X0156/F4;1;0,03;0,03;64;64;2;2
2012;00108X0005/GC1;2;0,09;0,14;64;64;1;3
2012;00113X0010/P1;1;0,02;0,02;64;64;1;1
2012;00113X0115/P2;1;0,2;0,2;64;64;4;4
2012;00116X0001/P1;1;0,14;0,14;64;64;3;3
2012;00122X0001/F1;1;0,04;0,04;64;64;1;1
2012;00143B0027/F1;1;0;0;64;64;0;0
2012;00144D0129/F1;1;0;0;42;42;0;0
2012;00144D1166/F6;1;0;0;64;64;0;0
2012;00163X0083/F3;1;0,04;0,04;64;64;2;2
2012;00164X0059/P1;1;0,15;0,15;64;64;3;3
2012;00164X0069/F1;1;0,19;0,19;64;64;3;3
2012;00167X0003/F1;13;0,218461538;0,28;42;64;3;6
2012;00171X0113/P1;10;0,232;0,28;42;64;3;4
2012;00175X0032/F1;1;0,09;0,09;64;64;2;2
2012;00176X0057/SO;1;0,05;0,05;42;42;1;1
2012;00178X0020/SO;1;1,16;1,16;42;42;3;3
2012;00184X0149/P1;1;0,06;0,06;64;64;2;2
2012;00186X0005/SO;1;0,07;0,07;42;42;2;2
2012;00188X0067/F3;1;0,02;0,02;64;64;1;1
2012;00191X0033/F1;1;0,02;0,02;64;64;1;1
2012;00192X0137/F2BIS;1;0,01;0,01;64;64;1;1
2012;00194D0214/F1;1;0;0;64;64;0;0
2012;00195X0163/F1;1;0,03;0,03;64;64;2;2
2012;00196X0053/P1;1;0;0;64;64;0;0
2012;00197X0113/F1;1;0,01;0,01;64;64;1;1
2012;00198X0326/F1;1;0,08;0,08;42;42;3;3
2012;00201B0019/F19;1;0;0;64;64;0;0
2012;00204X0216/F2;1;0;0;64;64;0;0
2012;00205X0091/F1;1;0,02;0,02;64;64;1;1
2012;00215X0187/PZAE;1;0;0;42;42;0;0
2012;00216X0019/F1;1;0;0;64;64;0;0
2012;00225X0016/F6;2;0;0;64;64;0;0
2012;00234X0001/F1;1;0,12;0,12;64;64;3;3
2012;00241X0230/HY;1;0,04;0,04;42;42;1;1
2012;00247X0032/P1;1;0,01;0,01;64;64;1;1
2012;00247X0201/P;1;0,152;0,152;355;355;5;5
2012;00256X0090/SO1;1;0,03;0,03;42;42;1;1
2012;00265X0002/P1;1;0,02;0,02;64;64;1;1
2012;00266X0017/SO;1;0,05;0,05;42;42;2;2
2012;00272X0032/F4;1;0,05;0,05;64;64;2;2
2012;00273X0038/P1;1;0,02;0,02;64;64;1;1
2012;00275X0028/SO;1;0,07;0,07;42;42;3;3
2012;00276X0032/P1;1;0;0;64;64;0;0
2012;00281X0327/F3;1;0;0;64;64;0;0
2012;00282X0094/F1;1;0,03;0,03;64;64;1;1
2012;00287X0101/P1;1;0,02;0,02;64;64;1;1
2012;00287X0122/PSEF;1;0,04;0,04;64;64;2;2
2012;00291X0203/F3;1;0,04;0,04;64;64;2;2
2012;00324X0043/HY;1;0,05;0,05;42;42;1;1
2012;00324X0088/F1;1;0,091;0,091;355;355;3;3
2012;00328X0014/HY;1;0,15;0,15;42;42;4;4
2012;00328X0054/MY;1;0,09;0,09;42;42;2;2
2012;00333X0045/F1;1;0;0;355;355;0;0
2012;00338X0045/P;1;0,114;0,114;355;355;2;2
2012;00343X0001/HY;1;0,02;0,02;42;42;1;1
2012;00343X0047/HY;1;0,06;0,06;42;42;1;1
2012;00345X0052/HY;1;0;0;42;42;0;0
2012;00353X0097/F2;1;0;0;64;64;0;0
2012;00354X0069/P1;1;0,05;0,05;64;64;2;2
2012;00356X0045/HY;1;0,14;0,14;42;42;3;3
2012;00362X0022/P1;1;0,13;0,13;64;64;4;4
2012;00367X0006/P1;1;0;0;64;64;0;0
2012;00368X0053/SO1;1;0,03;0,03;42;42;1;1
2012;00376X0012/F1;1;0,04;0,04;64;64;2;2
2012;00378X0002/P1;1;0,3;0,3;64;64;3;3
2012;00387X0014/P1;1;0,04;0,04;64;64;2;2
2012;00395X0196/F2;2;0;0;64;64;0;0
2012;00406X0006/PAEP;4;0,0225;0,03;393;410;1;2
2012;00428X0038/HY;3;0,007;0,016;277;292;0;2
2012;00436X0069/HY;3;0,023;0,039;277;292;0;2
2012;00436X0180/F2;4;0,025;0,07;277;292;0;2
2012;00443X0017/HY;2;0,04;0,06;277;277;1;3
2012;00445X0025/P;2;0,018;0,019;277;277;3;3
2012;00453X0080/HY;1;0;0;42;42;0;0
2012;00466X0149/PC;1;0;0;355;355;0;0
2012;00468X0028/HY;1;0,07;0,07;42;42;2;2
2012;00485X0056/HY;1;0,08;0,08;42;42;3;3
2012;00491X0218/F3;1;0;0;64;64;0;0
2012;00494X0155/HY;1;0,05;0,05;42;42;2;2
2012;00496X0033/HY;1;0,07;0,07;42;42;2;2
2012;00501X0045/S;1;0;0;12;12;0;0
2012;00512X0204/P;2;0,03;0,058;239;283;1;2
2012;00515X0118/HY;2;0,015;0,03;239;283;0;1
2012;00517X0030/SCE;4;0,233;0,24;239;284;3;5
2012;00518X0001/S1AEP;2;0,0075;0,008;239;283;1;2
2012;00518X0011/SO;4;0,18825;0,35;239;283;5;7
2012;00535X0003/PAEP;5;0,018;0,06;388;410;0;3
2012;00568X0045/P;9;0,2;0,734;277;277;2;16
2012;00574X0138/F;9;0,059777778;0,126;277;277;0;6
2012;00575X0137/HY;9;0,094888889;0,209;277;293;0;10
2012;00578X0007/HY;8;0,1195;0,201;277;293;2;6
2012;00581X0004/F;3;0,064;0,192;277;292;0;5
2012;00583X0003/F;2;0,035;0,05;277;277;1;2
2012;00595X0009/HY;3;0,045333333;0,096;277;292;0;4
2012;00596X0030/F;2;0,008;0,016;277;277;0;2
2012;00601X0040/111111;2;0,135;0,16;277;277;2;3
2012;00602X0017/P;2;0,03;0,03;277;277;2;2
2012;00606X0081/S;2;0,075;0,12;277;277;1;2
2012;00607X0228/F;2;0,03;0,03;277;277;1;2
2012;00608X0060/HY;4;0,3575;0,47;234;282;3;7
2012;00612X0023/F2;1;0,12;0,12;355;355;3;3
2012;00625X0031/HY;1;0;0;42;42;0;0
2012;00632X0069/F31;1;0;0;355;355;0;0
2012;00634X0098/HY;1;0,02;0,02;42;42;1;1
2012;00636X0042/F2;1;0,063;0,063;355;355;3;3
2012;00646X0107/F;1;0;0;355;355;0;0
2012;00652X0053/F;1;0;0;12;12;0;0
2012;00653X0002/F;4;0,02475;0,066;239;283;0;1
2012;00656X0029/F;2;0,015;0,03;12;239;0;1
2012;00657X0047/F;2;0,019;0,038;239;283;0;2
2012;00671X0049/P-C;4;0,10525;0,15;239;283;1;5
2012;00673X0096/S.GOIN;4;0,2855;0,38;238;283;3;6
2012;00675X0141/F.AEP;4;0,527;0,63;239;283;3;5
2012;00678X0003/PAEP;1;0;0;239;239;0;0
2012;00681X0032/SAEP2;6;0,208666667;0,28;239;284;3;5
2012;00682X0027/SAEP;7;0,166571429;0,21;388;410;3;4
2012;00683X0023/SAEP1;5;0,01;0,03;394;410;0;2
2012;00684X0011/SAEP;4;0,02;0,03;394;409;0;1
2012;00687X0003/SAEP;5;0,822;1,05;401;410;4;4
2012;00692X0044/AEP;4;0;0;394;409;0;0
2012;00696X0046/SAEP;4;0,02;0,06;394;409;0;2
2012;00697X0051/SAEP;5;0,532;0,67;400;410;4;5
2012;00698X0004/P4AEP;5;0,01;0,05;387;409;0;1
2012;00698X0027/SAEP;4;0,005;0,02;393;410;0;2
2012;00721X0063/F17;2;0,155;0,31;277;277;0;2
2012;00724X0018/F1;2;0,0965;0,157;277;277;2;3
2012;00726X0004/FE1;2;0,1175;0,225;277;277;1;3
2012;00728X0030/C1;4;0,0475;0,07;54;277;1;3
2012;00728X0059/F1;3;0,016;0,043;54;277;0;2
2012;00732X0007/C1;3;0,030333333;0,052;95;277;0;2
2012;00732X0014/F10;4;0,5385;0,833;277;277;14;25
2012;00746X0062/HY;1;0,034;0,034;277;277;3;3
2012;00752X0038/F;9;0,116666667;0,337;277;277;1;5
2012;00753X0050/F;9;0,118777778;0,22;277;277;1;7
2012;00756X0040/F;10;0,0691;0,162;277;293;1;9
2012;00756X0046/F;1;0,046;0,046;277;277;2;2
2012;00756X0151/F1;9;0,019555556;0,06;277;377;0;2
2012;00765X0025/HY;2;0,3635;0,721;277;277;1;4
2012;00767X0021/F;9;0,176777778;0,448;277;293;2;17
2012;00777X0024/F;3;0,071;0,132;73;277;0;5
2012;00782X0138/HY;2;0,0395;0,07;277;277;1;2
2012;00783X0009/HY;2;0,041;0,072;277;277;1;4
2012;00784X0017/F.1978;4;0,197;0,318;234;283;3;5
2012;00785X0001/F;3;0,138666667;0,256;277;277;1;3
2012;00792X0042/P;4;0,33025;0,495;239;283;4;8
2012;00803X0002/PC;1;0;0;355;355;0;0
2012;00806X0004/P;2;0,006;0,009;239;283;1;1
2012;00811X0013/MY;1;0,01;0,01;42;42;1;1
2012;00813X0050/P;3;0,164333333;0,21;87;283;2;4
2012;00814X0065/P;3;0,132;0,232;87;283;2;4
2012;00816X0062/F;1;0,012;0,012;283;283;2;2
2012;00818X0054/HY;2;0,0035;0,006;239;283;1;1
2012;00825X0015/F;1;0;0;239;239;0;0
2012;00825X0128/111111;2;0,001;0,002;239;283;0;1
2012;00843X0060/F.AEP;4;0,01475;0,03;234;283;0;2
2012;00845X0005/F;4;0,20225;0,32;239;283;3;6
2012;00845X0018/HY;3;1,001;1,169;239;283;5;8
2012;00853X0024/SAEP;4;0,338;0,441;239;283;3;6
2012;00861X0001/PAEP;2;0,001;0,002;239;283;0;1
2012;00861X0032/PAEP;1;0;0;239;239;0;0
2012;00864X0032/SAEP;5;0,166;0,21;394;410;3;4
2012;00868X0013/SAEP;3;0,049666667;0,088;239;388;2;4
