ANNEE;CD_STATION;NBPREL;MOYPTOT;MAXPTOT;MINMOLRECH;MAXMOLRECH;MINMOLQ;MAQMOLQ
2009;00057X0248/F4;1;0;0;62;62;0;0
2009;00061X0118/F8;2;0,025;0,04;62;63;1;2
2009;00066X0042/SO;2;0,29;0,35;31;31;2;2
2009;00071X0015/F;2;0;0;31;31;0;0
2009;00075X0158/F15;2;0,21;0,4;31;31;1;4
2009;00085X0063/F2;2;0;0;31;31;0;0
2009;00103X0308/F3;1;0,03;0,03;62;62;1;1
2009;00108X0005/GC1;2;0,16;0,18;62;63;2;2
2009;00115X0030/P1;2;0,295;0,3;62;63;2;2
2009;00116X0001/P1;1;0,16;0,16;63;63;2;2
2009;00118X0027/SO;2;0,095;0,1;31;31;2;2
2009;00118X0039/F;2;0;0;31;31;0;0
2009;00122X0001/F1;1;0,03;0,03;62;62;1;1
2009;00126X0128/SO;2;0,98;1,92;31;31;1;5
2009;00127X0336/F;2;0,295;0,37;43;43;4;5
2009;00144D0129/F1;2;0;0;31;31;0;0
2009;00163X0081/F;1;0,05;0,05;62;62;1;1
2009;00163X0083/F3;1;0,12;0,12;63;63;2;2
2009;00164X0059/P1;1;0,13;0,13;62;62;2;2
2009;00164X0069/F1;1;0,18;0,18;63;63;3;3
2009;00167X0003/F1;10;0,253;0,3;39;63;3;5
2009;00171X0113/P1;11;0,261818182;0,32;39;41;2;3
2009;00173X0047/SO;2;0,125;0,14;31;31;2;2
2009;00176X0057/SO;2;0,045;0,06;31;31;1;2
2009;00177X0047/SO1;2;0,08;0,09;31;31;2;2
2009;00178X0020/SO;2;0,01;0,02;31;31;0;1
2009;00181X0088/E1;2;0,155;0,16;31;31;2;2
2009;00182X0001/S1;2;0,115;0,15;31;31;2;3
2009;00186X0005/SO;2;0,17;0,25;31;31;2;3
2009;00188X0063/SO1;2;0,02;0,04;31;31;0;2
2009;00188X0067/F3;1;0,02;0,02;63;63;1;1
2009;00192X0137/F2BIS;1;0,02;0,02;63;63;1;1
2009;00194D0214/F1;1;0,01;0,01;62;62;1;1
2009;00195X0163/F1;1;0,02;0,02;63;63;1;1
2009;00197X0113/F1;2;0,095;0,12;63;63;3;4
2009;00198X0235/F2;1;0,05;0,05;62;62;2;2
2009;00198X0326/F1;2;0,125;0,16;31;31;3;5
2009;00201B0019/F19;1;0,02;0,02;62;62;1;1
2009;00208X0002/F1;1;0;0;62;62;0;0
2009;00215X0187/PZAE;2;0;0;31;50;0;0
2009;00238X0067/F1;1;0;0;12;12;0;0
2009;00241X0230/HY;2;0,04;0,07;33;33;1;2
2009;00248X0053/F2;1;0,05;0,05;63;63;2;2
2009;00251X0005/P1;1;0,03;0,03;62;62;1;1
2009;00252X0003/P1;1;0,2;0,2;62;62;3;3
2009;00253X0031/F1;1;0,11;0,11;63;63;2;2
2009;00256X0090/SO1;2;0,035;0,04;42;42;1;1
2009;00262X0040/SO1;2;0,045;0,05;31;31;1;1
2009;00266X0017/SO;2;0,065;0,08;42;42;2;3
2009;00267X0355/F1;2;0;0;33;33;0;0
2009;00268X0021/SO;2;0,24;0,33;43;43;5;7
2009;00275X0028/SO;2;0,075;0,09;31;31;2;2
2009;00285X0375/SO1;2;0,035;0,05;33;33;1;2
2009;00324X0043/HY;2;0,71;0,79;44;44;6;6
2009;00325X0072/PZ1;2;0,17;0,2;31;50;2;3
2009;00326X0110/EOLIE;1;0,47;0,47;31;31;3;3
2009;00328X0014/HY;2;0,14;0,15;31;31;2;3
2009;00328X0054/MY;2;0,2;0,21;31;31;4;4
2009;00332X0065/PZ1;2;1,395;1,52;31;50;5;7
2009;00335X0141/FEXPL1;1;0;0;12;12;0;0
2009;00343X0001/HY;2;0,02;0,02;31;31;1;1
2009;00343X0047/HY;2;0,1;0,11;31;31;1;2
2009;00344X0058/SO1;2;0,16;0,16;31;31;2;2
