ANNEE;CD_STATION;NBPREL;MOYPTOT;MAXPTOT;MINMOLRECH;MAXMOLRECH;MINMOLQ;MAQMOLQ
2010;00057X0245/F1;1;0;0;63;63;0;0
2010;00057X0248/F4;1;0;0;63;63;0;0
2010;00061X0118/F8;2;0,045;0,06;63;63;2;2
2010;00066X0042/SO;2;0,295;0,3;31;31;2;2
2010;00071X0015/F;2;0;0;31;31;0;0
2010;00075X0158/F15;2;0,01;0,02;31;31;0;1
2010;00085X0063/F2;2;0;0;31;31;0;0
2010;00103X0308/F3;1;0,02;0,02;63;63;1;1
2010;00104X0156/F4;1;0,02;0,02;63;63;1;1
2010;00108X0005/GC1;2;0,13;0,17;63;63;2;2
2010;00113X0010/P1;1;0,02;0,02;63;63;1;1
2010;00113X0115/P2;1;0;0;63;63;0;0
2010;00115X0030/P1;2;0,15;0,29;41;63;1;2
2010;00116X0001/P1;3;0,14;0,15;63;63;2;2
2010;00118X0027/SO;2;0,16;0,21;31;31;2;4
2010;00118X0039/F;2;0;0;31;31;0;0
2010;00122X0156/F3;1;0,01;0,01;63;63;1;1
2010;00126X0128/SO;2;0,05;0,07;31;31;1;2
2010;00144D0129/F1;2;0;0;31;31;0;0
2010;00163X0083/F3;1;0,09;0,09;63;63;1;1
2010;00164X0059/P1;1;0,05;0,05;63;63;1;1
2010;00164X0069/F1;2;0,135;0,16;63;63;3;4
2010;00167X0003/F1;10;0,222;0,35;38;63;3;5
2010;00171X0113/P1;8;0,2675;0,36;41;63;2;2
2010;00173X0047/SO;2;0,175;0,18;31;31;2;2
2010;00175X0032/F1;1;0,05;0,05;63;63;2;2
2010;00176X0057/SO;2;0,03;0,06;31;31;0;2
2010;00177X0047/SO1;2;0,07;0,07;31;31;2;2
2010;00178X0012/P1;1;0,08;0,08;63;63;2;2
2010;00178X0020/SO;2;0,02;0,02;31;31;1;1
2010;00181X0088/E1;2;0,135;0,18;31;31;2;2
2010;00182X0001/S1;2;0,105;0,12;31;31;2;2
2010;00184X0149/P1;1;0,06;0,06;63;63;2;2
2010;00186X0005/SO;2;0,06;0,09;31;31;1;2
2010;00188X0063/SO1;1;0,01;0,01;31;31;1;1
2010;00188X0067/F3;1;0,03;0,03;63;63;1;1
2010;00191X0033/F1;1;0,01;0,01;63;63;1;1
2010;00191X0158/F2;1;0;0;63;63;0;0
2010;00192X0137/F2BIS;1;0,01;0,01;63;63;1;1
2010;00194D0214/F1;1;0,01;0,01;63;63;1;1
2010;00195X0163/F1;1;0,02;0,02;63;63;1;1
2010;00197X0113/F1;2;0,09;0,13;63;63;2;4
2010;00198X0235/F2;1;0,05;0,05;63;63;2;2
2010;00198X0326/F1;2;0,085;0,09;31;31;3;3
2010;00205X0091/F1;1;0,03;0,03;63;63;1;1
2010;00215X0187/PZAE;1;0;0;31;31;0;0
2010;00234X0001/F1;1;0,14;0,14;63;63;3;3
2010;00234X0242/F1;1;0,05;0,05;13;13;2;2
2010;00241X0230/HY;2;0,05;0,1;32;32;0;2
2010;00247X0032/P1;1;0;0;63;63;0;0
2010;00253X0031/F1;1;0,07;0,07;63;63;2;2
2010;00254X0017/P1;1;0,04;0,04;63;63;2;2
2010;00256X0090/SO1;2;0,02;0,02;42;42;1;1
2010;00262X0040/SO1;2;0,05;0,07;31;31;1;2
2010;00264X0074/F1;1;0,02;0,02;63;63;1;1
2010;00265X0002/P1;1;0,02;0,02;63;63;1;1
2010;00266X0017/SO;2;0,225;0,29;42;42;3;3
2010;00266X0049/P1;1;0,1;0,1;63;63;3;3
2010;00267X0355/F1;2;0,1;0,2;33;33;0;1
2010;00268X0021/SO;2;0,26;0,31;43;43;6;7
2010;00272X0032/F4;1;0;0;63;63;0;0
2010;00275X0028/SO;2;0,055;0,06;31;31;2;2
2010;00276X0032/P1;1;0;0;63;63;0;0
2010;00285X0375/SO1;2;0,015;0,02;33;33;1;1
2010;00324X0043/HY;2;0,65;1,04;35;44;4;8
2010;00324X0088/F1;1;0,09;0,09;13;13;2;2
2010;00325X0072/PZ1;2;0,235;0,29;31;31;3;5
2010;00326X0110/EOLIE;2;0,125;0,19;31;31;2;3
2010;00328X0014/HY;2;0,155;0,18;31;31;3;3
2010;00328X0054/MY;2;0,265;0,35;31;31;3;5
2010;00332X0065/PZ1;2;6,885;12,2;31;31;2;5
2010;00333X0045/F1;1;0;0;13;13;0;0
2010;00338X0045/P;1;0;0;13;13;0;0
2010;00343X0001/HY;2;0,03;0,04;31;31;1;1
2010;00343X0047/HY;2;0,11;0,12;31;31;2;2
2010;00344X0058/SO1;2;0,13;0,14;31;31;2;2
2010;00345X0052/HY;2;0;0;31;31;0;0
2010;00353X0097/F2;1;0;0;63;63;0;0
2010;00354X0069/P1;1;0;0;63;63;0;0
2010;00354X0097/F1;1;0,06;0,06;31;31;2;2
2010;00356X0045/HY;1;0,08;0,08;42;42;2;2
2010;00357X0233/F1;1;0,04;0,04;63;63;2;2
2010;00362X0022/P1;1;0,12;0,12;63;63;3;3
2010;00367X0006/P1;1;0;0;63;63;0;0
2010;00368X0052/SO1;2;0,11;0,16;32;32;2;3
2010;00368X0053/SO1;2;0,025;0,03;31;31;1;1
2010;00378X0030/SO1;2;0,15;0,2;31;31;2;2
2010;00378X0136/SO1;2;0,1;0,12;31;31;2;2
2010;00381X0083/SO1;1;0,03;0,03;42;42;1;1
2010;00406X0006/PAEP;5;0,006142;0,03071;263;263;0;3
2010;00428X0038/HY;6;0;0;163;233;0;0
2010;00436X0069/HY;3;0;0;163;233;0;0
2010;00436X0180/F2;4;0;0;163;233;0;0
2010;00438X0009/HY;2;0,05;0,07;232;233;1;1
2010;00443X0017/HY;2;0,045;0,05;232;233;2;2
2010;00453X0080/HY;2;0,005;0,01;31;31;0;1
2010;00456X0025/HY;2;0,045;0,05;33;33;2;2
2010;00457X0036/HY;2;0;0;33;33;0;0
2010;00464X0050/HY;2;0,055;0,09;33;33;1;2
2010;00464X0113/HY;2;0,05;0,05;42;42;2;2
2010;00466X0149/PC;1;0;0;13;13;0;0
2010;00468X0028/HY;2;0,05;0,09;31;31;1;2
2010;00471X0075/P.ART;3;0,006666667;0,01;44;44;0;1
2010;00472X0059/F;1;0;0;13;13;0;0
2010;00473X0044/F;1;0,01;0,01;31;31;1;1
2010;00477X0091/PIEZO;1;0,03;0,03;31;31;2;2
2010;00478X0099/F01;1;0,04;0,04;31;31;2;2
2010;00482X0083/F;1;0,01;0,01;31;31;1;1
2010;00485X0056/HY;2;0,09;0,16;42;42;1;5
2010;00486X0080/F;1;1,13;1,13;31;31;7;7
2010;00488X0027/HY;2;0,015;0,02;32;32;1;1
2010;00488X0042/F;1;0,1;0,1;31;31;2;2
2010;00494X0155/HY;2;0,055;0,06;42;42;2;2
2010;00495X0066/F;3;0,053333333;0,07;31;43;2;2
2010;00496X0033/HY;2;0,06;0,09;42;42;1;2
2010;00501X0038/HY;2;0,305;0,49;42;42;2;2
2010;00501X0045/S;1;0,03;0,03;12;12;1;1
2010;00512X0204/P;1;0;0;228;228;0;0
2010;00515X0118/HY;2;0;0;228;228;0;0
2010;00517X0030/SCE;4;0,3375;0,63;228;228;1;2
2010;00518X0001/S1AEP;2;0;0;228;228;0;0
2010;00518X0011/SO;4;0,0175;0,05;228;228;0;2
2010;00535X0003/PAEP;3;0;0;263;263;0;0
2010;00567X0040/HY;2;0,042;0,064;231;233;1;3
2010;00568X0045/P;12;0,156166667;1,2;231;235;0;2
2010;00574X0138/F;12;0,084166667;0,54;231;235;1;3
2010;00575X0137/HY;15;0,0678;0,23;13;235;1;2
2010;00578X0007/HY;11;0,077272727;0,23;231;235;1;3
2010;00581X0004/F;5;0;0;163;233;0;0
2010;00583X0003/F;2;0;0;232;233;0;0
2010;00595X0009/HY;3;0,006666667;0,02;163;233;0;1
2010;00596X0030/F;2;0;0;232;233;0;0
2010;00601X0040/111111;2;0,05;0,06;232;233;1;1
2010;00602X0017/P;2;0;0;232;233;0;0
2010;00606X0081/S;2;0,015;0,03;232;233;0;1
2010;00607X0228/F;2;0,06;0,06;229;233;2;2
2010;00608X0060/HY;4;0,1725;0,25;231;233;2;2
2010;00616X0022/HY;2;0,07;0,14;33;33;0;2
2010;00617X0017/HY;2;0,11;0,12;33;33;2;2
2010;00624X0048/HY;2;0,11;0,17;42;42;2;5
2010;00625X0031/HY;2;0,005;0,01;31;31;0;1
2010;00632X0069/F31;1;0;0;13;13;0;0
2010;00633X0103/F;1;0,358;0,358;31;31;4;4
2010;00633X0104/F;1;0;0;31;31;0;0
2010;00633X0130/F01;1;1,43;1,43;32;32;9;9
2010;00634X0098/HY;2;0,015;0,02;42;42;1;1
2010;00635X0092/PZ2001;2;0,02;0,02;31;31;1;1
2010;00636X0042/F2;1;0,08;0,08;13;13;3;3
2010;00642X0086/F01;1;0,1;0,1;31;31;1;1
2010;00644X0016/F;1;0,21;0,21;32;32;2;2
2010;00646X0107/F;1;0;0;13;13;0;0
2010;00647X0236/PZ1;2;0,075;0,08;31;31;2;2
2010;00648X0142/F01;1;0,02;0,02;31;31;1;1
2010;00652X0053/F;1;0;0;11;11;0;0
2010;00653X0002/F;3;0;0;228;228;0;0
2010;00656X0029/F;2;0;0;12;228;0;0
2010;00657X0047/F;2;0,005;0,01;228;228;0;1
