ANNEE;CD_STATION;NBPREL;MOYPTOT;MAXPTOT;MINMOLRECH;MAXMOLRECH;MINMOLQ;MAQMOLQ
2007;00054X0169/F1;4;0;0;18;96;0;0
2007;00057X0245/F1;2;0;0;18;96;0;0
2007;00057X0248/F4;2;0,02;0,04;61;96;0;1
2007;00061X0118/F8;4;0,0125;0,02;18;96;0;1
2007;00066X0042/SO;2;0,28;0,35;19;19;2;2
2007;00068X0122/F9;1;0,02;0,02;61;61;1;1
2007;00071X0015/F;2;0;0;19;19;0;0
2007;00075X0158/F15;2;0,015;0,02;19;19;1;1
2007;00085X0063/F2;2;0;0;19;19;0;0
2007;00103X0308/F3;3;0,03;0,03;18;96;1;1
2007;00104X0156/F4;2;0,02;0,03;18;96;1;2
2007;00108X0005/GC1;4;0,16;0,19;18;96;2;2
2007;00113X0010/P1;2;0,065;0,08;18;36;1;2
2007;00115X0030/P1;13;0,262307692;0,32;36;96;2;3
2007;00116X0001/P1;4;0,18;0,25;18;96;2;2
2007;00118X0027/SO;2;0,06;0,08;19;99;1;2
2007;00118X0039/F;2;0,005;0,01;19;99;0;1
2007;00122X0001/F1;1;0,04;0,04;61;61;2;2
2007;00122X0156/F3;2;0,005;0,01;18;96;0;1
2007;00126X0128/SO;2;0,05;0,06;19;19;1;2
2007;00127X0336/F;2;0,329;0,658;31;99;0;11
2007;00143B0027/F1;1;0;0;61;61;0;0
2007;00144D0129/F1;2;0;0;19;19;0;0
2007;00144D1166/F6;1;0;0;61;61;0;0
2007;00147B3049/F2BULL;1;0,06;0,06;96;96;1;1
2007;00163X0081/F;3;0,06;0,07;18;96;2;3
2007;00163X0083/F3;3;0,113333333;0,14;18;96;2;3
2007;00164X0059/P1;4;0,1375;0,16;18;96;2;2
2007;00164X0069/F1;12;0,175833333;0,21;18;96;3;3
2007;00167X0003/F1;14;0,287142857;0,43;18;96;1;7
2007;00171X0113/P1;12;0,290833333;0,39;36;96;2;3
2007;00173X0047/SO;2;0,135;0,16;19;19;2;2
2007;00175X0032/F1;2;0,045;0,06;18;96;1;2
2007;00176X0057/SO;2;0,035;0,04;19;20;1;1
2007;00177X0047/SO1;2;0,05;0,07;19;99;1;2
2007;00178X0012/P1;2;0,055;0,07;18;96;1;2
2007;00178X0020/SO;2;0,025;0,03;19;20;1;1
2007;00181X0088/E1;2;0,105;0,14;19;19;1;2
2007;00182X0001/S1;2;0,15;0,17;19;99;2;3
2007;00184X0149/P1;2;0,165;0,17;18;96;3;5
2007;00186X0005/SO;2;0,075;0,09;19;19;1;2
2007;00188X0063/SO1;2;0,035;0,04;19;19;1;1
2007;00188X0067/F3;3;0;0;18;96;0;0
2007;00191X0033/F1;2;0,03;0,04;18;96;1;2
2007;00192X0137/F2BIS;3;0,036666667;0,1;29;95;0;3
2007;00194D0214/F1;2;0,01;0,01;29;61;1;1
2007;00195X0163/F1;3;0,056666667;0,07;18;96;2;2
2007;00196X0053/P1;2;0;0;61;96;0;0
2007;00197X0113/F1;4;0,0375;0,06;18;96;1;3
2007;00198X0235/F2;2;0,035;0,04;18;96;2;2
2007;00198X0326/F1;2;0,11;0,13;19;30;4;5
2007;00201B0019/F19;1;0,04;0,04;18;18;2;2
2007;00204X0216/F2;1;0;0;61;61;0;0
2007;00205X0091/F1;3;0,023333333;0,03;18;96;1;1
2007;00208X0002/F1;1;0;0;61;61;0;0
2007;00225X0016/F6;1;0;0;18;18;0;0
2007;00234X0001/F1;3;0,123333333;0,13;18;96;2;2
2007;00234X0242/F1;1;0,08;0,08;12;12;2;2
2007;00238X0067/F1;1;0;0;12;12;0;0
2007;00241X0230/HY;2;0,015;0,02;19;21;1;1
2007;00247X0032/P1;3;0,003333333;0,01;18;96;0;1
2007;00248X0053/F2;3;0,006666667;0,01;18;96;0;1
2007;00251X0005/P1;3;0,02;0,02;18;96;1;1
2007;00252X0003/P1;3;0,083333333;0,09;18;61;2;2
2007;00253X0031/F1;3;0,04;0,07;29;96;1;2
2007;00254X0017/P1;1;0,01;0,01;96;96;1;1
2007;00256X0090/SO1;2;0,055;0,1;19;30;1;3
2007;00262X0040/SO1;2;0,04;0,05;19;99;1;2
2007;00264X0074/F1;2;0,04;0,05;29;96;1;2
2007;00265X0002/P1;2;0,015;0,02;18;96;1;1
2007;00266X0017/SO;2;0,145;0,2;19;30;3;3
