ANNEE;CD_STATION;NBPREL;MOYPTOT;MAXPTOT;MINMOLRECH;MAXMOLRECH;MINMOLQ;MAQMOLQ
2011;00061X0118/F8;2;0,015;0,03;63;64;0;2
2011;00066X0042/SO;2;0,265;0,27;31;31;2;2
2011;00071X0015/F;2;0;0;31;31;0;0
2011;00075X0158/F15;2;0,02;0,02;31;31;1;1
2011;00085X0063/F2;2;0;0;112;112;0;0
2011;00103X0308/F3;1;0,02;0,02;63;63;1;1
2011;00108X0005/GC1;2;0,11;0,12;63;64;2;3
2011;00115X0030/P1;2;0,28;0,32;41;42;2;3
2011;00116X0001/P1;2;0,155;0,16;63;64;2;3
2011;00118X0027/SO;2;0,08;0,09;31;31;2;2
2011;00118X0039/F;2;0;0;31;31;0;0
2011;00126X0128/SO;1;0,08;0,08;112;112;2;2
2011;00144D0129/F1;2;0;0;31;31;0;0
2011;00163X0081/F;1;0,02;0,02;63;63;1;1
2011;00163X0083/F3;1;0,03;0,03;64;64;1;1
2011;00164X0059/P1;1;0,11;0,11;63;63;2;2
2011;00167X0003/F1;10;0,216;0,31;41;63;3;6
2011;00171X0113/P1;12;0,225;0,28;41;44;2;4
2011;00173X0047/SO;1;0,33;0,33;31;31;4;4
2011;00176X0057/SO;3;0,07;0,08;31;31;2;2
2011;00177X0047/SO1;1;0,06;0,06;31;31;2;2
2011;00178X0020/SO;2;0,12;0,17;112;112;2;4
2011;00181X0088/E1;1;0,26;0,26;31;31;2;2
2011;00182X0001/S1;1;0,16;0,16;31;31;3;3
2011;00186X0005/SO;1;0,08;0,08;31;31;2;2
2011;00188X0063/SO1;1;0,02;0,02;31;31;1;1
2011;00192X0137/F2BIS;1;0,01;0,01;63;63;1;1
2011;00194D0214/F1;1;0,01;0,01;63;63;1;1
2011;00195X0163/F1;1;0,04;0,04;63;63;1;1
2011;00197X0113/F1;2;0,06;0,06;63;64;2;3
2011;00198X0235/F2;1;0,04;0,04;63;63;2;2
2011;00198X0326/F1;1;0,18;0,18;31;31;5;5
2011;00205X0091/F1;1;0;0;63;63;0;0
2011;00208X0002/F1;1;0;0;63;63;0;0
2011;00215X0187/PZAE;2;0,01;0,02;31;31;0;1
2011;00234X0001/F1;1;0,1;0,1;63;63;2;2
2011;00234X0242/F1;1;0,04;0,04;13;13;1;1
2011;00241X0230/HY;2;0,135;0,17;112;112;3;4
2011;00248X0053/F2;1;0;0;63;63;0;0
2011;00251X0005/P1;1;0,02;0,02;63;63;1;1
2011;00252X0003/P1;1;0,17;0,17;63;63;3;3
2011;00253X0031/F1;1;0,09;0,09;63;63;2;2
2011;00256X0090/SO1;2;0,03;0,03;42;42;1;1
2011;00262X0040/SO1;2;0,04;0,05;31;31;1;2
2011;00266X0017/SO;2;0,08;0,12;42;42;2;3
2011;00267X0355/F1;2;0;0;33;33;0;0
2011;00268X0021/SO;2;0,18;0,2;47;123;5;5
2011;00271X0060/F2;1;0,02;0,02;63;63;1;1
2011;00272X0032/F4;1;0,05;0,05;63;63;2;2
2011;00275X0028/SO;2;0,08;0,1;31;31;2;3
2011;00285X0375/SO1;2;0,055;0,09;114;114;1;2
2011;00324X0043/HY;1;0,94;0,94;35;35;6;6
2011;00325X0072/PZ1;2;0,16;0,22;31;31;2;3
2011;00326X0110/EOLIE;2;0,235;0,25;112;112;5;5
2011;00328X0014/HY;2;0,165;0,17;31;31;3;3
2011;00328X0054/MY;2;0,13;0,14;31;31;2;3
2011;00332X0065/PZ1;2;0,7;0,9;31;31;5;5
2011;00335X0141/FEXPL1;1;0;0;13;13;0;0
2011;00343X0001/HY;1;0,05;0,05;112;112;2;2
2011;00343X0047/HY;2;0,085;0,11;31;31;1;2
2011;00344X0058/SO1;2;0,15;0,17;31;31;2;3
2011;00345X0052/HY;2;0;0;31;31;0;0
2011;00346X0010/F1;1;0;0;13;13;0;0
2011;00353X0059/F1;1;0;0;63;63;0;0
2011;00356X0045/HY;3;0,113333333;0,12;42;42;3;4
2011;00368X0052/SO1;2;0,495;0,55;32;32;6;7
2011;00368X0053/SO1;2;0,03;0,03;31;32;1;1
2011;00377X0002/P1;1;0,07;0,07;63;63;2;2
2011;00378X0030/SO1;2;0,155;0,18;31;31;2;2
2011;00378X0136/SO1;1;0,09;0,09;31;31;2;2
2011;00406X0006/PAEP;4;0,0025;0,01;271;428;0;2
2011;00428X0038/HY;6;0,128333333;0,77;232;292;0;2
2011;00436X0069/HY;2;0,015;0,03;232;232;0;1
2011;00436X0180/F2;2;0;0;232;232;0;0
2011;00443X0017/HY;2;0,055;0,11;232;232;0;2
2011;00445X0025/P;3;0;0;232;292;0;0
2011;00453X0080/HY;2;0,01;0,01;31;31;1;1
2011;00456X0025/HY;2;0,045;0,05;33;33;2;2
2011;00457X0036/HY;2;0,02;0,04;114;114;0;1
2011;00464X0050/HY;2;0,03;0,03;33;33;1;1
2011;00464X0113/HY;2;0,055;0,06;42;42;2;2
2011;00468X0028/HY;3;0,023333333;0,07;4;112;0;2
2011;00471X0075/P.ART;2;0,015;0,02;44;44;1;1
2011;00473X0044/F;1;0;0;31;31;0;0
2011;00474X0078/F;1;0;0;13;13;0;0
2011;00477X0091/PIEZO;3;0,036666667;0,06;31;31;1;3
2011;00478X0099/F01;1;0,01;0,01;31;31;1;1
2011;00482X0083/F;1;0;0;31;31;0;0
2011;00485X0056/HY;2;0,08;0,14;42;42;1;4
2011;00486X0080/F;1;0,01;0,01;112;112;1;1
2011;00488X0027/HY;2;0,045;0,05;32;32;2;2
2011;00488X0042/F;1;0,07;0,07;31;31;2;2
2011;00494X0155/HY;1;0,05;0,05;42;42;2;2
2011;00495X0066/F;1;0,1;0,1;43;43;3;3
2011;00496X0033/HY;1;0,08;0,08;42;42;3;3
2011;00501X0038/HY;2;0,045;0,05;42;42;1;1
2011;00512X0204/P;2;0;0;228;228;0;0
2011;00515X0118/HY;2;0;0;228;228;0;0
2011;00517X0030/SCE;3;0,436666667;0,55;228;228;2;4
2011;00518X0001/S1AEP;2;0;0;228;228;0;0
2011;00518X0011/SO;4;0,19;0,48;228;231;0;4
2011;00535X0003/PAEP;4;0,0115;0,026;271;388;0;4
2011;00568X0045/P;12;0,061666667;0,47;232;232;0;2
2011;00574X0138/F;12;0,037333333;0,078;232;293;0;3
2011;00575X0137/HY;13;0,048846154;0,08;13;232;1;2
2011;00578X0007/HY;12;0,161666667;0,74;232;232;1;3
2011;00581X0004/F;4;0;0;229;229;0;0
2011;00583X0003/F;3;0,033333333;0,1;232;292;0;2
2011;00595X0009/HY;2;0,015;0,03;232;232;0;1
2011;00596X0030/F;3;0;0;232;292;0;0
2011;00601X0040/111111;3;0,052333333;0,09;232;293;0;2
2011;00602X0017/P;2;0,05;0,1;229;229;0;2
2011;00606X0081/S;2;0,015;0,03;232;232;0;1
2011;00607X0228/F;2;0,015;0,03;229;229;0;1
2011;00608X0060/HY;3;0,18;0,23;232;232;2;3
2011;00616X0022/HY;2;0,145;0,16;33;33;2;3
2011;00617X0017/HY;2;0,12;0,14;33;33;2;3
2011;00621X0044/PC;1;0;0;355;355;0;0
2011;00624X0048/HY;2;0,045;0,07;42;42;1;2
2011;00625X0031/HY;2;0,005;0,01;31;31;0;1
2011;00627X0005/PC;1;0;0;13;13;0;0
2011;00633X0103/F;1;0,01;0,01;31;31;1;1
2011;00633X0104/F;1;0;0;31;31;0;0
2011;00633X0130/F01;1;0,22;0,22;32;32;6;6
