"ID","Autre_quantite-totale-2015","N minéral_quantite-totale-2015","N Organique_quantite-totale-2015","Toxique_quantite-totale-2015","Autre_quantite-totale-2016","N minéral_quantite-totale-2016","N Organique_quantite-totale-2016","Toxique_quantite-totale-2016","Autre_quantite-totale-2017","N minéral_quantite-totale-2017","N Organique_quantite-totale-2017","Toxique_quantite-totale-2017","Autre_quantite-totale-2018","N minéral_quantite-totale-2018","N Organique_quantite-totale-2018","Toxique_quantite-totale-2018"
"59177",57.652116,7.525,602.119128,223.805094,223.51837,0.4,653.27696,349.107,148.351616,NA,990.545224,230.88425,178.533867,0.2,961.258144,207.579
"59178",127.052174,17.2,899.504076,395.774134,226.703836,NA,865.79127,291.34107,194.845652,NA,899.201518,294.369884,320.662399,NA,1567.811046,505.55445
"59179",0.7,7.525,30.186,24.4725,NA,NA,36.65,6,NA,NA,35.95,0.2,26.004,NA,1.905672,NA
"59180",185.773,NA,875.229634,639.738404,184.756914,NA,942.5728,945.893424,556.838028,NA,1421.59524,502.7005,312.779284,0.16,2271.90823,1086.590356
"59181",2084.97413,50.07925,3364.898114,3587.0282,2752.531469,40,4754.282776,4746.677304,1529.945503,21,4654.314932,6047.57212,3198.912669,19,5546.643818,13219.0129
"59182",77.070865,NA,264.94295,145.934204,133.143392,NA,268.47804,150.1755,94.818676,NA,224.00701,137.19855,125.275892,NA,317.566424,281.9588
"59184",3933.031144,NA,869.370072,982.48741,2082.777652,NA,755.592622,1173.06462,4420.506666,NA,805.088806,1289.23863,5046.210578,NA,1558.133486,3070.8535
"59185",246.447179,6.45,822.711604,531.536719,397.618568,NA,784.761884,841.488,233.27046,NA,962.489182,720.379,611.043618,NA,1102.494674,1143.59101
"59186",2.6505,NA,91.6366,16.89,4.476097,NA,115.603038,6.37,23.004097,NA,14.82525,3.026,0.002619,NA,25.413966,0.09
"59187",220.535923,NA,463.10907,413.261275,329.260362,NA,595.77311,886.93113,193.646788,NA,564.70583,1009.33493,332.534712,NA,996.688308,2494.292574
"59188",650.152223,23.65,2367.558114,1720.46267,1249.506999,NA,2291.087872,1824.784,1738.17058,NA,2636.927592,1237.6103,1201.233591,NA,3381.077726,2420.64159
"59189",1242.893031,NA,3012.545418,2655.11955,2163.09391,NA,3215.327562,4392.177334,1624.125846,0.08,3275.668023,3102.537185,2252.282561,NA,5998.058104,9007.05739
"59190",3624.640886,189.25,9210.83382,10509.290505,7934.857437,97,13422.568455,22625.31174,6551.792003,166.72,12347.489679,22524.122211,9647.736047,320.1575,19993.071528,57132.028321
"59191",399.781273,8.6,1164.192754,808.134968,748.221586,NA,1676.813658,867.59498,579.246942,NA,1683.223952,652.58507,959.718838,NA,2356.951898,1076.630304
"59192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59193",708.18766,6.45,1209.824904,1127.100624,868.619324,NA,1159.917358,1747.69345,360.97262,NA,1432.984494,1666.74827,1093.788986,NA,1832.51125,6590.25237
"59194",277.723614,NA,653.839166,330.27137,405.653136,NA,679.20965,359.75855,463.607636,NA,626.234562,289.78954,290.700587,NA,1196.063486,530.001664
